CustomerID,MerchantName,TransactionRank,TransactionRedeemedPoints,TransactionValue,TransactionFrom(days),CustomerLastTransactionFrom(days)
74,Zest Market,1,1460,146,359,359
75,Family Grocers,1,940,94,292,292
76,Marketplace Central,1,740,74,71,71
77,Family Grocers,1,4399,439.9,237,237
78,Family Grocers,1,2589,258.9,287,287
79,Marketplace Central,1,2600,260,328,328
80,Nuts & Seeds Co.,1,4700,470,45,45
81,Marketplace Central,1,960,96,6,6
82,Marketplace Central,1,1260,126,18,18
83,Marketplace Central,1,5600,560,34,34
84,Marketplace Central,1,12380,1238,3,3
85,Herbal Wellness,1,1720,172,349,349
86,Zest Market,1,2679,267.9,80,80
87,Family Grocers,1,329,32.9,270,243
87,Family Grocers,2,710,71,243,243
88,Marketplace Central,1,6950,695,254,13
88,Marketplace Central,2,6400,640,13,13
89,Threads Royale,1,4520,452,60,60
90,Grill Emperor,1,1941,194.1,279,279
91,Herbal Wellness,1,1550,155,412,412
92,Marketplace Central,1,7480,748,24,24
93,Marketplace Central,1,1960,196,284,284
94,Marketplace Central,1,3140,314,22,22
95,Marketplace Central,1,1640,164,246,246
96,Family Grocers,1,4420,442,254,6
96,Marketplace Central,1,3570,357,6,6
97,Threads Royale,1,1960,196,104,104
98,Family Grocers,1,5582,558.2,111,111
99,Marketplace Central,1,16860,1686,24,24
100,Marketplace Central,1,1190,119,258,258
101,Family Grocers,1,1756,175.6,168,168
102,Marketplace Central,1,2320,232,174,174
103,Cakeland,1,2640,264,41,41
104,Marketplace Central,1,15620,1562,20,20
105,Cakeland,1,2400,240,30,30
106,Zest Market,1,4299,429.9,265,50
106,Zest Market,2,3980,398,50,50
107,Grill Emperor,1,1720,172,265,265
108,Marketplace Central,1,260,26,307,27
108,Marketplace Central,2,220,22,237,27
108,Marketplace Central,3,220,22,195,27
108,Marketplace Central,4,800,80,68,27
108,Marketplace Central,5,300,30,27,27
108,Threads Royale,1,1700,170,335,27
109,Marketplace Central,1,15700,1570,250,250
110,Marketplace Central,1,2105,210.5,70,70
111,Family Grocers,1,1530,153,269,269
112,Marketplace Central,1,2390,239,6,6
113,Family Grocers,1,1500,150,305,63
113,Marketplace Central,1,1040,104,63,63
114,Marketplace Central,1,38620,3862,266,266
115,Marketplace Central,1,3760,376,229,229
116,Marketplace Central,1,3320,332,70,70
117,Family Grocers,1,1717,171.7,276,276
118,Marketplace Central,1,5520,552,36,36
119,Zest Market,1,2016,201.6,308,308
120,Threads Royale,1,5000,500,248,248
121,Nuts & Seeds Co.,1,1500,150,304,304
122,Marketplace Central,1,21180,2118,127,127
123,Grill Emperor,1,1333,133.3,325,325
124,Threads Royale,1,1000,100,307,307
125,Family Grocers,1,1758,175.8,234,234
126,Family Grocers,1,7113,711.3,201,201
127,Threads Royale,1,2980,298,249,34
127,Threads Royale,2,4250,425,34,34
128,Marketplace Central,1,1450,145,34,34
129,Marketplace Central,1,2840,284,263,181
129,Marketplace Central,2,940,94,181,181
130,Marketplace Central,1,3300,330,69,69
131,Marketplace Central,1,3360,336,62,62
132,Nuts & Seeds Co.,1,3480,348,47,47
133,Marketplace Central,1,2200,220,101,101
134,Family Grocers,1,1641,164.1,261,261
135,Peppers Diner,1,660,66,527,527
136,Marketplace Central,1,2670,267,34,34
137,Marketplace Central,1,21500,2150,203,203
138,Family Grocers,1,3776,377.6,91,91
139,Zest Market,1,16060,1606,248,248
140,Zest Market,1,1380,138,237,237
141,Grill Emperor,1,596,59.6,426,426
142,Threads Royale,1,920,92,267,50
142,Threads Royale,2,360,36,50,50
143,Threads Royale,1,3260,326,74,74
144,Family Grocers,1,1960,196,233,233
145,Marketplace Central,1,2340,234,205,25
145,Marketplace Central,2,720,72,25,25
146,Family Grocers,1,6384,638.4,302,79
146,Family Grocers,2,6380,638,79,79
147,City Squad Fashions,1,1040,104,131,131
148,Threads Royale,1,4910,491,20,20
149,Peppers Diner,1,2440,244,346,346
150,Marketplace Central,1,1120,112,285,285
151,Marketplace Central,1,7860,786,228,228
152,Marketplace Central,1,1940,194,197,197
153,Marketplace Central,1,11060,1106,11,11
154,Threads Royale,1,1580,158,319,319
155,Family Grocers,1,1320,132,300,300
156,Family Grocers,1,1700,170,279,279
157,Family Grocers,1,1985,198.5,73,73
158,Marketplace Central,1,1850,185,77,77
159,Marketplace Central,1,3500,350,252,60
159,Marketplace Central,2,1340,134,60,60
160,Marketplace Central,1,26120,2612,181,181
161,Zest Market,1,695,69.5,410,110
161,Zest Market,2,640,64,110,110
162,Family Grocers,1,5400,540,251,251
163,Herbal Wellness,1,2180,218,237,237
164,Marketplace Central,1,6960,696,19,19
165,Marketplace Central,1,3240,324,228,228
166,Zest Market,1,1300,130,36,36
167,Marketplace Central,1,3270,327,251,251
168,Marketplace Central,1,8850,885,27,27
169,Marketplace Central,1,8540,854,225,60
169,Marketplace Central,2,1392,139.2,60,60
170,Marketplace Central,1,2550,255,34,34
171,Cakeland,1,200,20,210,210
172,Family Grocers,1,2126,212.6,292,292
173,Marketplace Central,1,1960,196,222,222
174,Marketplace Central,1,3380,338,249,249
175,Grill Emperor,1,1201,120.1,444,444
176,Family Grocers,1,833,83.3,296,296
177,Marketplace Central,1,5280,528,320,320
178,Marketplace Central,1,4040,404,88,88
179,Grill Emperor,1,2200,220,384,249
179,Marketplace Central,1,620,62,249,249
180,Marketplace Central,1,1460,146,179,179
181,Marketplace Central,1,2400,240,71,71
182,Marketplace Central,1,760,76,266,266
183,Threads Royale,1,1800,180,20,20
184,Marketplace Central,1,5060,506,49,49
185,Smokehouse Grill,1,2260,226,410,410
186,Marketplace Central,1,1388,138.8,69,69
187,Cakeland,1,1140,114,20,20
188,Marketplace Central,1,3440,344,204,34
188,Marketplace Central,2,3760,376,34,34
189,Marketplace Central,1,3200,320,211,211
190,Nuts & Seeds Co.,1,3340,334,53,53
191,Grill Emperor,1,2290,229,360,360
192,Marketplace Central,1,2280,228,91,91
193,Marketplace Central,1,2660,266,41,41
194,Marketplace Central,1,1740,174,213,213
195,Marketplace Central,1,870,87,41,41
196,Family Grocers,1,925,92.5,307,307
197,Marketplace Central,1,1050,105,260,260
198,Aroma Beans,1,960,96,255,255
199,Marketplace Central,1,1580,158,315,315
200,Marketplace Central,1,1100,110,201,201
201,Marketplace Central,1,3440,344,81,81
202,Marketplace Central,1,6770,677,6,6
203,Marketplace Central,1,13520,1352,323,33
203,Marketplace Central,2,2020,202,234,33
203,Marketplace Central,3,3020,302,123,33
203,Marketplace Central,4,4040,404,33,33
203,Zest Market,1,3367,336.7,266,33
204,Marketplace Central,1,12760,1276,55,55
205,Threads Royale,1,600,60,20,20
206,Marketplace Central,1,2000,200,37,37
206,Global Media Hub,1,1680,168,411,37
207,Cakeland,1,1991,199.1,238,238
208,Marketplace Central,1,2120,212,40,40
209,Marketplace Central,1,1090,109,260,260
210,Marketplace Central,1,1840,184,131,131
211,Smokehouse Grill,1,6950,695,13,13
212,Family Grocers,1,28830,2883,260,260
213,City Squad Fashions,1,14980,1498,41,41
213,City Squad Fashions,2,9430,943,41,41
214,Threads Royale,1,1840,184,315,315
215,Marketplace Central,1,6000,600,42,42
216,Family Grocers,1,2399,239.9,153,153
217,Threads Royale,1,1980,198,282,282
218,Marketplace Central,1,2560,256,102,102
219,Marketplace Central,1,11734,1173.4,68,68
220,Peppers Diner,1,1472,147.2,389,389
221,Grill Emperor,1,2360,236,175,164
221,Grill Emperor,2,3440,344,164,164
222,Threads Royale,1,1900,190,76,76
223,Family Grocers,1,530,53,256,256
224,Marketplace Central,1,2100,210,33,33
225,Family Grocers,1,1920,192,224,224
226,Threads Royale,1,1020,102,21,21
227,Grill Emperor,1,1240,124,455,301
227,Grill Emperor,2,670,67,301,301
228,Threads Royale,1,2960,296,161,161
229,Nuts & Seeds Co.,1,1410,141,255,255
230,Threads Royale,1,2140,214,33,33
231,Marketplace Central,1,4120,412,27,27
232,Family Grocers,1,3640,364,250,250
233,Family Grocers,1,2228,222.8,136,136
234,Marketplace Central,1,8760,876,141,141
235,Marketplace Central,1,3880,388,61,54
235,Marketplace Central,2,6900,690,54,54
236,Marketplace Central,1,740,74,118,118
237,Marketplace Central,1,1680,168,93,93
238,Marketplace Central,1,2130,213,259,259
239,Marketplace Central,1,1660,166,129,129
240,Marketplace Central,1,2125,212.5,27,27
241,Marketplace Central,1,1217,121.7,261,261
242,Marketplace Central,1,2800,280,34,34
243,Cakeland,1,5900,590,22,22
244,Family Grocers,1,1600,160,51,51
245,Marketplace Central,1,2000,200,40,40
246,Marketplace Central,1,2880,288,266,266
247,Family Grocers,1,2078,207.8,244,244
248,Aroma Beans,1,1660,166,454,388
248,Aroma Beans,2,1040,104,388,388
249,Grill Emperor,1,1980,198,140,140
250,Family Grocers,1,1392,139.2,77,77
251,Marketplace Central,1,1976,197.6,222,222
252,Marketplace Central,1,4920,492,102,102
253,Grill Emperor,1,1300,130,13,13
254,Marketplace Central,1,650,65,250,250
254,Marketplace Central,2,3230,323,250,250
255,Marketplace Central,1,1060,106,246,246
256,Zest Market,1,1840,184,125,125
257,Marketplace Central,1,1920,192,121,121
258,Marketplace Central,1,600,60,67,36
258,Marketplace Central,2,140,14,36,36
258,Threads Royale,1,2720,272,177,36
259,Grill Emperor,1,2830,283,34,34
260,Marketplace Central,1,5780,578,49,49
261,Nuts & Seeds Co.,1,1900,190,27,27
262,Marketplace Central,1,4180,418,135,135
263,Threads Royale,1,3940,394,50,50
264,Threads Royale,1,1960,196,71,71
265,Marketplace Central,1,1130,113,13,13
266,Zest Market,1,1094,109.4,200,200
267,Marketplace Central,1,2380,238,70,70
268,Marketplace Central,1,4330,433,270,41
268,Marketplace Central,2,4550,455,41,41
268,Threads Royale,1,19960,1996,321,41
269,Zest Market,1,1144,114.4,271,271
270,Gizmo Genius,1,2640,264,112,112
271,Threads Royale,1,17180,1718,269,118
271,City Squad Fashions,1,26460,2646,118,118
272,Cakeland,1,1700,170,244,244
273,Zest Market,1,560,56,384,384
274,Family Grocers,1,1542,154.2,156,156
275,Marketplace Central,1,1700,170,249,32
275,Marketplace Central,2,900,90,32,32
276,Aroma Beans,1,1300,130,429,305
276,Aroma Beans,2,360,36,305,305
277,Family Grocers,1,1840,184,285,285
278,Family Grocers,1,2290,229,188,188
279,Grill Emperor,1,2947,294.7,220,220
280,Zest Market,1,2040,204,114,114
281,Grill Emperor,1,3000,300,47,47
282,Herbal Wellness,1,2120,212,20,20
283,Zest Market,1,1880,188,66,66
284,Peppers Diner,1,960,96,373,373
285,Marketplace Central,1,1720,172,111,111
286,Family Grocers,1,4940,494,245,245
287,Zest Market,1,1885,188.5,26,26
288,Marketplace Central,1,3140,314,303,39
288,Marketplace Central,2,1100,110,250,39
288,Marketplace Central,3,2160,216,197,39
288,Marketplace Central,4,3860,386,39,39
288,Threads Royale,1,2380,238,118,39
288,Threads Royale,2,1480,148,118,39
289,Family Grocers,1,2100,210,264,264
290,Grill Emperor,1,600,60,210,210
291,Marketplace Central,1,900,90,102,102
292,Marketplace Central,1,2580,258,264,264
293,Marketplace Central,1,550,55,20,20
294,Grill Emperor,1,2440,244,41,41
295,Threads Royale,1,9800,980,306,34
295,Threads Royale,2,3280,328,180,34
295,City Squad Fashions,1,3480,348,34,34
296,Herbal Wellness,1,980,98,231,231
297,Grill Emperor,1,2040,204,273,273
298,Zest Market,1,2443,244.3,260,41
298,Zest Market,2,1070,107,41,41
299,Marketplace Central,1,1460,146,6,6
300,Herbal Wellness,1,1400,140,271,12
300,Herbal Wellness,2,1100,110,12,12
301,Marketplace Central,1,1822,182.2,153,153
302,Marketplace Central,1,1560,156,210,210
303,Family Grocers,1,5000,500,309,309
304,Marketplace Central,1,1320,132,20,20
305,Threads Royale,1,1401,140.1,286,286
306,Threads Royale,1,3900,390,46,46
307,Family Grocers,1,2745,274.5,164,164
308,Grill Emperor,1,5000,500,134,134
309,Marketplace Central,1,1080,108,27,27
310,Family Grocers,1,1040,104,297,297
311,Family Grocers,1,1537,153.7,57,57
312,Herbal Wellness,1,4100,410,79,79
313,Herbal Wellness,1,1320,132,9,9
314,Zest Market,1,3050,305,307,5
314,Zest Market,2,3760,376,5,5
315,Marketplace Central,1,1210,121,253,253
316,Marketplace Central,1,2020,202,136,136
317,Cakeland,1,1260,126,204,204
318,Marketplace Central,1,3840,384,190,190
319,Threads Royale,1,1740,174,246,246
320,City Squad Fashions,1,2000,200,27,27
321,Zest Market,1,3166,316.6,78,78
322,Marketplace Central,1,1200,120,35,35
323,Marketplace Central,1,2430,243,27,27
324,Zest Market,1,1368,136.8,374,374
325,Zest Market,1,2948,294.8,327,327
326,Marketplace Central,1,1500,150,96,96
327,Family Grocers,1,1225,122.5,260,260
328,Family Grocers,1,1683,168.3,265,265
329,Grill Emperor,1,765,76.5,259,259
330,Marketplace Central,1,12460,1246,66,66
331,Family Grocers,1,1700,170,236,236
332,Marketplace Central,1,2384,238.4,217,217
333,Marketplace Central,1,1640,164,32,32
334,Marketplace Central,1,1550,155,269,269
335,Grill Emperor,1,1860,186,152,152
336,Nuts & Seeds Co.,1,1440,144,333,333
337,Nuts & Seeds Co.,1,6500,650,6,6
338,Marketplace Central,1,2520,252,329,231
338,Marketplace Central,2,460,46,231,231
339,Threads Royale,1,5940,594,39,39
340,Zest Market,1,5400,540,398,131
340,Zest Market,2,3605,360.5,131,131
341,Family Grocers,1,1636,163.6,126,126
342,Marketplace Central,1,600,60,37,37
343,Threads Royale,1,4500,450,21,21
344,Marketplace Central,1,3800,380,299,299
345,Smokehouse Grill,1,2000,200,252,45
345,Smokehouse Grill,2,2056,205.6,45,45
346,Marketplace Central,1,2000,200,60,60
347,Marketplace Central,1,2096,209.6,35,35
348,Grill Emperor,1,1240,124,308,308
349,Grill Emperor,1,1071,107.1,269,269
350,Grill Emperor,1,3000,300,260,130
350,Grill Emperor,2,1340,134,130,130
351,Nuts & Seeds Co.,1,3880,388,161,161
352,Grill Emperor,1,2040,204,201,201
353,Marketplace Central,1,6530,653,20,20
354,Aroma Beans,1,1320,132,340,340
355,Family Grocers,1,11620,1162,76,60
355,Family Grocers,2,1440,144,60,60
356,Herbal Wellness,1,840,84,115,115
356,Threads Royale,1,2000,200,306,115
357,Threads Royale,1,1460,146,115,115
358,Cakeland,1,4400,440,234,234
359,Threads Royale,1,945,94.5,257,257
360,Grill Emperor,1,1600,160,350,350
361,TouchTech Innovations,1,4800,480,352,352
362,Marketplace Central,1,2600,260,112,112
363,Family Grocers,1,3940,394,225,225
364,Marketplace Central,1,2220,222,19,19
365,Marketplace Central,1,1800,180,19,19
366,Sweets & Fizz,1,2240,224,51,51
367,Threads Royale,1,1940,194,180,180
368,Grill Emperor,1,4560,456,335,335
369,Marketplace Central,1,1420,142,261,261
370,Family Grocers,1,1398,139.8,315,315
371,Marketplace Central,1,3000,300,269,269
372,Zest Market,1,6220,622,78,78
373,Zest Market,1,4390,439,258,258
374,Marketplace Central,1,2200,220,34,34
375,Marketplace Central,1,2840,284,231,231
376,Aroma Beans,1,800,80,363,363
377,Aroma Beans,1,1820,182,322,322
378,Zest Market,1,2648,264.8,252,252
379,Marketplace Central,1,2880,288,197,197
380,Zest Market,1,2200,220,38,38
381,Herbal Wellness,1,1040,104,427,427
382,Marketplace Central,1,2400,240,58,58
383,Marketplace Central,1,1380,138,202,202
384,Marketplace Central,1,4240,424,92,92
385,Marketplace Central,1,4460,446,197,23
385,Marketplace Central,2,5720,572,23,23
386,Marketplace Central,1,2510,251,254,17
386,Marketplace Central,2,900,90,17,17
387,Family Grocers,1,2320,232,285,58
387,Marketplace Central,1,1520,152,58,58
388,Marketplace Central,1,2169,216.9,92,92
389,City Squad Fashions,1,2320,232,123,123
390,Cakeland,1,1810,181,27,27
391,Aroma Beans,1,2780,278,285,285
392,Family Grocers,1,2320,232,232,232
393,Family Grocers,1,2846,284.6,55,55
394,Marketplace Central,1,14900,1490,33,33
395,Herbal Wellness,1,3780,378,141,141
396,Marketplace Central,1,13710,1371,34,34
397,Marketplace Central,1,2740,274,9,9
398,Marketplace Central,1,1900,190,214,214
399,Family Grocers,1,5235,523.5,299,299
400,Threads Royale,1,6260,626,11,11
401,Smokehouse Grill,1,5040,504,233,233
402,Zest Market,1,1373,137.3,362,362
403,Zest Market,1,910,91,143,143
404,Marketplace Central,1,2130,213,121,121
405,Quick Stop,1,420,42,471,471
406,Marketplace Central,1,1920,192,1,1
407,Herbal Wellness,1,4385,438.5,34,34
408,Marketplace Central,1,610,61,20,20
409,Family Grocers,1,2620,262,102,102
410,Marketplace Central,1,4510,451,269,269
411,Marketplace Central,1,2840,284,51,51
412,Marketplace Central,1,3760,376,194,194
413,Grill Emperor,1,12120,1212,474,251
413,Marketplace Central,1,10780,1078,251,251
414,Family Grocers,1,1200,120,225,225
415,Marketplace Central,1,2550,255,41,41
416,Marketplace Central,1,450,45,257,257
417,Herbal Wellness,1,1240,124,2,2
418,Threads Royale,1,1540,154,137,137
419,Marketplace Central,1,2340,234,291,291
420,Marketplace Central,1,1020,102,270,270
421,Marketplace Central,1,2480,248,165,165
422,Smokehouse Grill,1,2420,242,206,206
423,Zest Market,1,1540,154,16,16
424,Marketplace Central,1,1060,106,301,301
425,Marketplace Central,1,2500,250,34,34
426,Marketplace Central,1,680,68,6,6
427,Threads Royale,1,1740,174,330,329
427,Threads Royale,2,840,84,329,329
428,Marketplace Central,1,1430,143,269,269
429,Grill Emperor,1,3070,307,252,252
430,Marketplace Central,1,2020,202,65,65
431,Family Grocers,1,800,80,44,44
432,Family Grocers,1,1463,146.3,281,281
433,Threads Royale,1,2570,257,83,83
434,Marketplace Central,1,1740,174,327,327
435,Zest Market,1,4430,443,157,29
435,Zest Market,2,960,96,29,29
436,Family Grocers,1,3140,314,272,272
437,Marketplace Central,1,11270,1127,20,20
438,Marketplace Central,1,1760,176,77,77
439,Marketplace Central,1,1200,120,303,303
440,Urban Rides,1,2200,220,107,107
441,Marketplace Central,1,1540,154,84,84
442,Marketplace Central,1,4300,430,23,23
443,Family Grocers,1,1180,118,144,144
444,Zest Market,1,1428,142.8,258,258
445,Marketplace Central,1,3740,374,70,70
446,Marketplace Central,1,1500,150,236,236
447,Cakeland,1,9240,924,160,160
448,Marketplace Central,1,1100,110,21,21
449,Marketplace Central,1,600,60,326,256
449,Marketplace Central,2,1300,130,326,256
449,Marketplace Central,3,420,42,256,256
450,Family Grocers,1,1864,186.4,101,101
451,Marketplace Central,1,1320,132,276,276
452,Marketplace Central,1,4510,451,261,261
453,Marketplace Central,1,51180,5118,251,41
453,Marketplace Central,2,204460,20446,41,41
453,Gizmo Genius,1,60800,6080,277,41
454,Marketplace Central,1,1620,162,242,56
454,Marketplace Central,2,720,72,56,56
455,Marketplace Central,1,640,64,237,237
456,Zest Market,1,1998,199.8,141,141
457,Family Grocers,1,1060,106,145,145
458,Family Grocers,1,2160,216,303,303
459,Marketplace Central,1,1440,144,250,250
460,Aroma Beans,1,1480,148,335,245
460,Aroma Beans,2,1360,136,293,245
460,Aroma Beans,3,300,30,245,245
461,Marketplace Central,1,4060,406,192,192
462,Quick Stop,1,560,56,144,144
463,Cakeland,1,1560,156,26,26
464,Marketplace Central,1,1420,142,210,210
465,Family Grocers,1,5000,500,233,233
466,Herbal Wellness,1,1340,134,365,365
467,Zest Market,1,1650,165,251,251
468,Marketplace Central,1,2220,222,62,62
469,Marketplace Central,1,3010,301,41,41
470,Marketplace Central,1,1220,122,151,151
471,Marketplace Central,1,1910,191,27,27
472,Threads Royale,1,1260,126,335,335
473,Marketplace Central,1,1960,196,83,83
474,Marketplace Central,1,2440,244,28,28
475,Marketplace Central,1,1140,114,218,218
476,Threads Royale,1,2780,278,338,91
476,Threads Royale,2,8,0.8,316,91
476,Threads Royale,3,792,79.2,316,91
476,Threads Royale,4,2580,258,91,91
476,Aroma Beans,1,920,92,252,91
477,Nuts & Seeds Co.,1,1780,178,404,404
478,Urban Rides,1,3500,350,14,14
479,Marketplace Central,1,3480,348,66,66
480,Quick Stop,1,1140,114,347,347
480,Quick Stop,2,180,18,347,347
481,Nuts & Seeds Co.,1,3240,324,20,20
482,Aroma Beans,1,1940,194,347,347
483,Threads Royale,1,7100,710,27,27
484,Family Grocers,1,18169,1816.9,127,127
485,Marketplace Central,1,3215,321.5,253,35
485,Marketplace Central,2,1780,178,35,35
486,Marketplace Central,1,2280,228,53,53
487,Smokehouse Grill,1,2860,286,139,139
488,Grill Emperor,1,1590,159,224,224
489,Threads Royale,1,13450,1345,250,19
489,Aroma Beans,1,3100,310,238,19
489,Zanobia Textiles,1,5200,520,19,19
490,Family Grocers,1,1500,150,271,271
491,Marketplace Central,1,1420,142,272,272
492,Marketplace Central,1,2640,264,249,249
493,Family Grocers,1,2780,278,138,40
493,Marketplace Central,1,1040,104,40,40
494,Zest Market,1,1260,126,48,48
495,Threads Royale,1,9280,928,41,41
496,Family Grocers,1,900,90,261,261
497,Marketplace Central,1,54500,5450,27,27
497,Threads Royale,1,4570,457,27,27
498,Marketplace Central,1,2440,244,14,14
499,Marketplace Central,1,2261,226.1,51,51
500,Marketplace Central,1,2709,270.9,99,99
501,Threads Royale,1,3380,338,82,82
502,Marketplace Central,1,3550,355,20,20
503,Marketplace Central,1,560,56,27,27
504,Quick Stop,1,2160,216,183,51
504,Quick Stop,2,800,80,51,51
505,Grill Emperor,1,4860,486,38,38
506,Grill Emperor,1,7001,700.1,197,197
507,Family Grocers,1,792,79.2,299,299
508,Family Grocers,1,1720,172,211,211
509,Marketplace Central,1,2120,212,269,269
510,Marketplace Central,1,8000,800,25,25
511,Quick Stop,1,980,98,367,367
511,Quick Stop,2,980,98,367,367
512,Threads Royale,1,1300,130,188,188
513,Marketplace Central,1,2190,219,34,34
514,Family Grocers,1,1380,138,155,20
514,Family Grocers,2,2152,215.2,20,20
514,Cakeland,1,3700,370,235,20
515,Marketplace Central,1,20720,2072,67,67
516,Family Grocers,1,1975,197.5,271,271
517,Grill Emperor,1,4280,428,359,74
517,Threads Royale,1,1980,198,172,74
517,Threads Royale,2,1580,158,74,74
518,Marketplace Central,1,3440,344,216,216
519,Marketplace Central,1,2080,208,68,68
520,Marketplace Central,1,4000,400,173,173
521,Herbal Wellness,1,830,83,34,34
522,Marketplace Central,1,500,50,69,69
523,Family Grocers,1,960,96,261,261
524,Marketplace Central,1,2300,230,174,174
525,Marketplace Central,1,3700,370,99,99
526,Urban Rides,1,1280,128,258,258
527,Marketplace Central,1,3220,322,214,214
528,Herbal Wellness,1,1740,174,267,267
529,Marketplace Central,1,1510,151,34,34
530,Grill Emperor,1,5450,545,354,88
530,Grill Emperor,2,123,12.3,318,88
530,Grill Emperor,3,4200,420,313,88
530,Grill Emperor,4,6326,632.6,88,88
531,Marketplace Central,1,23450,2345,41,41
532,Threads Royale,1,2160,216,193,193
533,Family Grocers,1,10000,1000,176,20
533,Family Grocers,2,8000,800,138,20
533,Family Grocers,3,3000,300,138,20
533,Family Grocers,4,7000,700,68,20
533,Marketplace Central,1,33590,3359,20,20
534,Zest Market,1,2100,210,258,258
535,Grill Emperor,1,1980,198,154,20
535,Marketplace Central,1,630,63,20,20
536,Marketplace Central,1,1540,154,259,259
537,Marketplace Central,1,2160,216,72,14
537,Marketplace Central,2,5021,502.1,34,14
537,Marketplace Central,3,4220,422,14,14
538,Aroma Beans,1,2460,246,341,341
539,Nuts & Seeds Co.,1,1520,152,245,245
540,Grill Emperor,1,2250,225,13,13
541,Marketplace Central,1,460,46,47,47
542,Threads Royale,1,1713,171.3,286,286
543,Herbal Wellness,1,1900,190,408,408
544,Marketplace Central,1,1130,113,20,20
545,Marketplace Central,1,1540,154,6,6
546,Aroma Beans,1,2700,270,260,260
547,Marketplace Central,1,12750,1275,29,29
548,Herbal Wellness,1,1600,160,202,202
